id,province,population,population_density,hospital_name,type,class,total_beds,total_services,total_labors,ownership,blu_status,city,address
1107014,Aceh,5695.9,100,RS Umum Daerah Cut Nyak Dhien,Rumah Sakit Umum,B,267,16,812,Pemkab,BLUD,Aceh Barat,Jl. Gajah Mada Meulaboh 
1107016,Aceh,5695.9,100,RS Umum Harapan Sehat,Rumah Sakit Umum,D,51,25,53,SWASTA/LAINNYA,Non BLU/BLUD,Aceh Barat,"Jl. Sisingamangaraja, Dusun III, Desa Gampa, Kecamatan Johan Pahlawan, Kabupaten Aceh Barat. Provinsi Aceh"
1107017,Aceh,5695.9,100,RS Tk. IV IM 07.02,Rumah Sakit Umum,D,56,23,20,TNI AD,Non BLU/BLUD,Aceh Barat,Jl. Pocut Baren Ujung Karang Desa Suak Indrapuri Kec. Johan Pahlawan Meulaboh Aceh Barat
1107015,Aceh,5695.9,100,RS Umum Montella,Rumah Sakit Umum,D,51,16,55,SWASTA/LAINNYA,Non BLU/BLUD,Aceh Barat,"Jl. Beringin jaya ,  kel.  seunubok Kec. Johan pahlawan , kabupaten aceh barat,  Aceh 23611"
1112011,Aceh,5695.9,100,RS Umum Daerah Teungku Peukan,Rumah Sakit Umum,C,256,96,1100,Pemkab,BLUD,Aceh Barat Daya,"Jl. Nasional Padang Meurante Desa Ujung Padang, Kec. Susoh"
1108015,Aceh,5695.9,100,RS Umum Daerah Kabupaten Aceh Besar,Rumah Sakit Umum,C,101,23,262,Pemkab,Non BLU/BLUD,Aceh Besar,"Jl. Banda Aceh-Medan Km. 25 Desa Sinyeu, Kec. Indrapuri"
1108028,Aceh,5695.9,100,RS Hermina Aceh,Rumah Sakit Umum,D,63,22,,SWASTA/LAINNYA,Non BLU/BLUD,Aceh Besar,"Jl. Soekarno Hatta,  Kec. Ingin Jaya"
1108017,Aceh,5695.9,100,RS Umum Ibnu Sina,Rumah Sakit Umum,D,63,33,67,SWASTA/LAINNYA,Non BLU/BLUD,Aceh Besar,"Jl. Banda Aceh-Medan Km 25,5 Kecamatan Indrapuri, Kabupaten Aceh Besar, Provinsi Aceh. "
1116011,Aceh,5695.9,100,RS Umum Daerah Teuku Umar Kabupaten Aceh Jaya,Rumah Sakit Umum,C,107,23,406,Pemkab,BLUD,Aceh Jaya,"Jln. Ali Gunong, Lr. PMI No. 1, Calang, Kec. Krueng Sabee Kabupaten Aceh Jaya Propinsi Aceh"
1103010,Aceh,5695.9,100,RS Umum Daerah Dr. H. Yulidin Away,Rumah Sakit Umum,B,359,68,515,Pemkab,BLUD,Aceh Selatan,Jl. T. Ben Mahmud Nomor 86 A Tapaktuan
